Date,Open,High,Low,Close,Volume,MA_50,MA_200
2020-01-02,71.62708447362316,72.68128119000231,71.37321069958021,72.62083435058594,135480400,,
2020-01-03,71.84711001739942,72.67643886208242,71.6899497146884,71.91481018066406,146322800,,
2020-01-06,71.03470938256737,72.52653323692198,70.78324846628296,72.48784637451172,118387200,,
2020-01-07,72.49752942348555,72.75382346407903,71.92691473047077,72.14694213867188,108872000,,
2020-01-08,71.8495328881936,73.60974457641883,71.8495328881936,73.30751037597656,132079200,,
2020-01-09,74.28673353041597,75.05803566834844,74.03528003135865,74.86460876464844,170108400,,
2020-01-10,75.0991465547697,75.59964810131231,74.53094485063419,75.03385925292969,140644800,,
2020-01-13,75.35062150930146,76.66352519200935,75.23214067732687,76.63692474365234,121532000,,
2020-01-14,76.57406362681236,76.78441745974806,75.47876712733354,75.6020736694336,161954400,,
2020-01-15,75.40139008732662,76.28391248020361,74.84527472915032,75.278076171875,121923600,,
2020-01-16,75.82209118249474,76.33226630764163,75.45941017193344,76.22103881835938,108829200,,
2020-01-17,76.47009335198214,77.06730848616459,76.16302603037396,77.06489562988281,137816400,,
2020-01-21,76.69253240808335,77.1350000250309,76.40480486276103,76.5426254272461,110843200,,
2020-01-22,77.02863894018,77.36956011404764,76.7215715495235,76.81587219238281,101832400,,
2020-01-23,76.86905012564355,77.26557760751265,76.32018802900329,77.185791015625,104472000,,
2020-01-24,77.43240119345582,78.17710300745777,76.772319051517,76.96333312988281,146537600,,
2020-01-27,74.96859866575934,75.38205304274135,73.71614173787451,74.7002182006836,161940000,,
2020-01-28,75.58273394834251,76.98509775416542,75.48360024038988,76.81343078613281,162234000,,
2020-01-29,78.44791087101221,79.26998640843951,77.70562191467835,78.42131042480469,216229200,,
2020-01-30,77.50254458920554,78.3608870109976,77.069743025065,78.30769348144531,126743200,,
2020-01-31,77.59680909150437,78.01993693561123,74.54062095731271,74.83560180664062,199588400,,
2020-02-03,73.57589958168212,75.79792627872014,73.0729850588055,74.63009643554688,173788400,,
2020-02-04,76.23798079684781,77.2849243200521,75.83177975550196,77.09391021728516,136616400,,
2020-02-05,78.22302830628803,78.52284958990063,77.11806590135353,77.7225341796875,118826800,,
2020-02-06,77.99335327455661,78.63408832571153,77.43482504328904,78.63166809082031,105425600,,
2020-02-07,78.12997524636046,78.3796069749616,77.07085803475874,77.56285095214844,117684000,,
2020-02-10,76.14503551271558,77.93123626708984,76.06505957583339,77.93123626708984,109348800,,
2020-02-11,78.42808578763751,78.500791189116,77.24293596960018,77.4610595703125,94323200,,
2020-02-12,77.91185062961374,79.30542744679461,77.91185062961374,79.30058288574219,113730400,,
2020-02-13,78.57106654450395,79.06305941279798,78.36748405379012,78.73587036132812,94747600,,
2020-02-14,78.70438598515923,79.0049189494575,78.24632709184701,78.75528717041016,80113600,,
2020-02-18,76.43101890919421,77.494988049833,76.24924802244713,77.31321716308594,152531200,,
2020-02-19,77.55559872430071,78.66319139368892,77.55559872430071,78.43294525146484,93984000,,
2020-02-20,78.19300168361448,78.68256868592816,77.12176183559734,77.6282958984375,100566000,,
2020-02-21,77.22111592621015,77.66464101568167,75.25314438056381,75.87116241455078,129554000,,
2020-02-24,72.04430474977563,73.72144039286337,70.09814428354905,72.26727294921875,222195200,,
2020-02-25,72.93862307301592,73.32155060377019,69.34682747801553,69.81942749023438,230673600,,
2020-02-26,69.44376756876824,72.19456919203475,69.43649702723432,70.92701721191406,198054800,,
2020-02-27,68.12772839099156,69.31529668003056,66.15490485834736,66.2906265258789,320605600,,
2020-02-28,62.34984454807426,67.4757824380709,62.13413953031365,66.2518539428711,426510000,,
2020-03-02,68.41372189685545,73.05736355673497,67.30855537364073,72.41995239257812,341397200,,
2020-03-03,73.59785031269487,73.67782627764666,69.26684819330227,70.11996459960938,319475600,,
2020-03-04,71.8455487891952,73.53238053099778,71.04333387511636,73.37242126464844,219178400,,
2020-03-05,71.6225878078589,72.5993032659202,70.62648670581913,70.9924545288086,187572800,,
2020-03-06,68.34586817457833,70.48349603940056,68.15925268654892,70.04966735839844,226176800,,
2020-03-09,63.92275248459072,67.39821044302454,63.74098162444497,64.50926971435547,286744800,,
2020-03-10,67.1679847520732,69.42194089429611,65.28483354397228,69.15534210205078,285290000,,
2020-03-11,67.22858865883606,68.15682896396041,65.88832388635639,66.75355529785156,255598800,,
2020-03-12,62.02991834834593,65.43751580172635,60.10557006973383,60.16131210327149,418474000,,
2020-03-13,64.19906676832508,67.84175558934598,61.30526952735632,67.36914825439453,370732000,74.02590599060059,
2020-03-16,58.63929237514396,62.79093727126344,58.166688768527365,58.70230865478516,322423600,73.74753547668458,
2020-03-17,59.98682095947624,62.43466692909921,57.77891021775957,61.28345489501953,324056000,73.53490837097168,
2020-03-18,58.11093922105167,60.59029297407206,57.46867989664371,59.78322982788086,300233600,73.28081604003906,
2020-03-19,59.95773914025238,61.27860698512917,58.79925286107015,59.32517623901367,271857200,73.0243807220459,
2020-03-20,59.90684466812261,61.033826561579104,55.25835823713997,55.55888748168945,401693200,72.66940826416015,
2020-03-23,55.27774369215165,55.379534953760505,51.52841558126917,54.37858200073242,336752800,72.25968772888183,
2020-03-24,57.28449598735918,60.03044895212406,56.78523248433621,59.83413696289063,287531200,71.95569328308106,
2020-03-25,60.77206840473627,62.58977733010226,59.20883946854917,59.504520416259766,303602000,71.6130451965332,
2020-03-26,59.74688482814629,62.69399424747682,59.70810614809417,62.63582992553711,252087200,71.35372032165527,
2020-03-27,61.25679655191656,62.01296235265456,59.875338378207296,60.04256820678711,204216800,71.04901016235351,
2020-03-30,60.76964956297266,61.92813582111078,60.44488273934441,61.75605773925781,167976400,70.75971054077148,
2020-03-31,61.94752404866054,63.61738886653712,61.07502225152622,61.630027770996094,197002000,70.45101318359374,
